COSTS BREAKDOWN,,,,
Part,Link, Total (USD),Run. Total,Notes
Mouser Order,In /FUNDING/Mouser.pdf,$57.06,$57.06,
G3061 PD65W Mini Hot Plate,In /FUNDING/Hotplate.png,$13.00,$70.06,Cost on webpage is in New Zealand Dollar
LT8653S,In /FUNDING/Mouser(ALT).pdf,$24.92,$94.98,This is for if AD redjects my sample order. The amount added is for the LT8653S. 
Saftey Net,N/A,$10.00,$104.98,
,,,,
GRAND TOTAL:,,,$104.98 USD,
