COSTS BREAKDOWN,,,,,
Part,Qty,Link, Total (NZD),Run. Total,EVERTHING UNLESS OTHERWISE INDICATED IS IN NEW ZEALAND DOLLAR
PCBs + Assembly,5,Photo in /Images/COSTS,$28.04,$28.04,
AVR128DB32,5,Photo in /Images/COSTS,$12.20,$40.24,
LT8653S,5,Photo in /Images/COSTS,$67.26,$107.50,
Header Pins and Switches,N/A,Photo in /Images/COSTS,$59.83,$167.33,
Saftey Net,N/A,N/A,$10.00,$177.33,
,,,,,
GRAND TOTAL:,,,,$177.33 NZD,
,,,,$102.33 USD,
